apr,bank,currency,domain,fees,ltv,maximum,pages,rate,tenor
11.03%,Standard Chartered Bank (Ghana),,www.sc.com,,,,1,,
14.51%,Ecobank Ghana,,www.ecobank.com,,,,1,,
15.17%,Stanbic Bank Ghana,,www.stanbicbank.com.gh,Facility fee of 2% (minimum GHS50) charged on approved limit and at each,80% financing,"Maximum loan amount: depends on income Fixed Term Loan: GHS10,000",23,,maximum is 67 years
16.13%,Absa Bank Ghana,,www.absa.com.gh,,,"up to GHS130,000",10,,up to 6 months) Requirements You must be at least 18 years
16.41%,CalBank,,www.calbank.net,,,,17,,
16.50%,First National Bank (Ghana),USD or GBP and up to 20 years to service this home loan,www.firstnationalbank.com.gh,,up to 30% of the purchase price,,4,,up to 20 years
16.59%,First Atlantic Bank,,www.firstatlanticbank.com.gh,,,,23,,
18.26%,Prudential Bank,,www.prudentialbank.com.gh,,,,5,,
18.91%,OmniBSIC Bank Ghana,,www.omnibsic.com.gh,,,,1,,
19.04%,Societe General Ghana,,www.societegenerale.com.gh,,,"up to GHS20,000",6,,repayment duration of up to Maximum tenor of 5 years
19.79%,United Bank for Africa (Ghana),,www.ubagroup.com,,,,1,,
20.98%,Access Bank Ghana,,www.ghana.accessbankplc.com,,,"Up to GHS 5,000",26,,
21.13%,First Bank Ghana,,www.fbnbankghana.com,,,,6,,
22.25%,Zenith Bank (Ghana),,www.zenithbank.com.gh,,,up to USD 3000,26,,
22.75%,Republic Bank (Ghana),mortgage with other banks in cedi or USD,www.republicghana.com,Processing Fee &nbsp; IDENTITY 1 passport-size photograph Personal Referen,Up to 100% of Property,"Maximum Loan &nbsp;Amount GH¢ 300,000",16,11.5% per annum Mortgage,"Max Term USD = 15 years, GHS = 20 years"
23.42%,Bank of Africa Ghana,,www.boaghana.com,Commitment fee 1,25% of the value,"Maximum Loan Limit GHS 20,000",7,,
24.79%,Fidelity Bank Ghana,,www.fidelitybank.com.gh,,,,0,,
25.44%,Consolidated Bank Ghana,,www.cbg.com.gh,,,"up to GHS 500,000",11,,
27.48%,Agricultural Development Bank,,www.agricbank.com,,,,1,,
29.54%,GCB Bank,,www.gcbbank.com.gh,,,,0,,
33.58%,Guaranty Trust Bank (Ghana),,www.gtbghana.com,,,"up to $500,000,",26,,
