apr,bank,currencies,documents,domain,eligibility,minimum,mortgage,pages,remote
11.03%,Standard Chartered Bank (Ghana),,,www.sc.com,,,,1,
14.51%,Ecobank Ghana,,,www.ecobank.com,,,,0,
15.17%,Stanbic Bank Ghana,,Work permit (if applicable) Resident Permit where applicable Trusts Trust deed or other fou,www.stanbicbank.com.gh,,GHS 700 Minimum,,23,
16.13%,Absa Bank Ghana,,Valid passport (bio data page) or Ghana Card (front and back) Address confirmation (any of the,www.absa.com.gh,Account Resume an application&nbsp; Are you a Ghanaian living abroad,GHS100 (waived if you maintain a minimum,Diaspora banking brings home closer to you Open an account Mortgage,13,"from anywhere, at any time, using Absa's secure online banking platform Competitive exchange"
16.41%,CalBank,,work permit Copy of passport Non-citizen Ghana Card Get a CalBank Premium Account and enjoy,www.calbank.net,,Initial deposit of GHS 500,,22,without visiting the banking hall
16.50%,First National Bank (Ghana),"accounts in US dollar, euro, cedi and pound sterling",valid passport A residence permit Terms and conditions + rules apply Back to top First Nationa,www.firstnationalbank.com.gh,,Minimum deposit of GHS 100,,8,
16.59%,First Atlantic Bank,,,www.firstatlanticbank.com.gh,,,,24,from anywhere in the world
18.26%,Prudential Bank,"currency or exchange account in USD, GBP",,www.prudentialbank.com.gh,,,,10,
18.91%,OmniBSIC Bank Ghana,,,www.omnibsic.com.gh,,,,1,
19.04%,Societe General Ghana,"account in four major currencies; GHS, USD, GBP",,www.societegenerale.com.gh,,opening balance and minimum account operating balance required is GHS50,,9,
19.79%,United Bank for Africa (Ghana),,,www.ubagroup.com,,,,1,
20.98%,Access Bank Ghana,,Notarize) Six (6) Months’ Pay Slip and Bank Statement (Notarize) Introductory letter fro,www.ghana.accessbankplc.com,,Minimum working capital of GHS 200,,26,without visiting a traditional bank branch
21.13%,First Bank Ghana,,,www.fbnbankghana.com,,,,6,
22.25%,Zenith Bank (Ghana),GBP &amp; EUR (Diaspora Savings Account Holders,International Passport (for Foreigners) Residence permit and non-Citizen Ghana card (for Foreigners) U,www.zenithbank.com.gh,"Diaspora Account With a Zenith Diaspora Account, you can open and operate your account","minimum of GHS10,000",,26,from anywhere in the world
22.75%,Republic Bank (Ghana),,,www.republicghana.com,,Minimum account operating balance shall not be less than GHS50,,13,
23.42%,Bank of Africa Ghana,,Certified copy of identity card,www.boaghana.com,,"Minimum Net monthly salary of GHS 500 Minimum Loan Limit GHS 1,000",,10,
24.79%,Fidelity Bank Ghana,,,www.fidelitybank.com.gh,,,,0,
25.44%,Consolidated Bank Ghana,,work permit) Open an account now and enjoy all the benefits of modern banking OPEN ACCOUNT,www.cbg.com.gh,,"minimum opening balance of GHS1,000",,12,from anywhere in the world
27.48%,Agricultural Development Bank,,,www.agricbank.com,,,,1,
29.54%,GCB Bank,,,www.gcbbank.com.gh,,,,0,
33.58%,Guaranty Trust Bank (Ghana),,Work Permit (for Non-Ghanaians) Navigate The ultimate account for High Net worth Individual,www.gtbghana.com,,,,26,
